Entity,Code,Year,Literacy rate among young women
Afghanistan,AFG,1979,11
Afghanistan,AFG,2011,32
Afghanistan,AFG,2015,25.48416
Afghanistan,AFG,2021,42
Afghanistan,AFG,2022,44.17171
Albania,ALB,2001,99
Albania,ALB,2005,99.49
Albania,ALB,2008,99
Albania,ALB,2009,96.61
Albania,ALB,2011,99
Albania,ALB,2012,99
Albania,ALB,2017,99.52556
Algeria,DZA,1987,62
Algeria,DZA,2002,86
Algeria,DZA,2006,89
Algeria,DZA,2008,92
Algeria,DZA,2019,97.9897
American Samoa,ASM,1980,97
Angola,AGO,2001,63
Angola,AGO,2014,71
Angola,AGO,2015,67.4276
Anguilla,AIA,1984,99
Argentina,ARG,1980,97
Argentina,ARG,1991,99
Argentina,ARG,2001,99
Armenia,ARM,1989,100
Armenia,ARM,2000,100
Armenia,ARM,2001,100
Armenia,ARM,2011,100
Armenia,ARM,2016,100
Armenia,ARM,2017,100
Armenia,ARM,2020,100
Armenia,ARM,2022,99.91656
Aruba,ABW,2000,99
Aruba,ABW,2010,99
Azerbaijan,AZE,1999,100
Azerbaijan,AZE,2006,100
Azerbaijan,AZE,2007,100
Azerbaijan,AZE,2009,100
Azerbaijan,AZE,2010,100
Azerbaijan,AZE,2011,100
Azerbaijan,AZE,2012,100
Azerbaijan,AZE,2013,100
Azerbaijan,AZE,2014,100
Azerbaijan,AZE,2015,100
Azerbaijan,AZE,2016,100
Azerbaijan,AZE,2017,100
Azerbaijan,AZE,2019,100
Azerbaijan,AZE,2023,100
Bahrain,BHR,1981,82
Bahrain,BHR,1991,97
Bahrain,BHR,2001,97
Bahrain,BHR,2022,99
Bahrain,BHR,2023,99
Bangladesh,BGD,1981,27
Bangladesh,BGD,1991,38
Bangladesh,BGD,2000,100
Bangladesh,BGD,2001,60
Bangladesh,BGD,2006,87.2
Bangladesh,BGD,2007,77.09
Bangladesh,BGD,2011,80
Bangladesh,BGD,2012,79
Bangladesh,BGD,2013,87
Bangladesh,BGD,2014,86
Bangladesh,BGD,2015,90
Bangladesh,BGD,2016,94
Bangladesh,BGD,2017,94
Bangladesh,BGD,2018,95
Bangladesh,BGD,2019,96
Bangladesh,BGD,2020,96
Bangladesh,BGD,2021,96
Bangladesh,BGD,2022,94
Barbados,BRB,1970,100
Barbados,BRB,2012,100
Belarus,BLR,1989,100
Belarus,BLR,1999,100
Belarus,BLR,2005,99.98
Belarus,BLR,2009,100
Belarus,BLR,2012,100
Belarus,BLR,2019,100
Belize,BLZ,1991,78
Belize,BLZ,2006,95.13
Belize,BLZ,2011,96.6
Belize,BLZ,2015,98.07905
Benin,BEN,1979,18
Benin,BEN,1992,27
Benin,BEN,2001,31.85
Benin,BEN,2002,33
Benin,BEN,2006,39.53
Benin,BEN,2017,50.98536
Benin,BEN,2019,62.76271
Benin,BEN,2021,59.18644
Benin,BEN,2022,67.93813
Bhutan,BTN,2005,68
Bhutan,BTN,2010,63.34
Bhutan,BTN,2012,82
Bhutan,BTN,2017,93
Bolivia,BOL,1976,76
Bolivia,BOL,1992,92
Bolivia,BOL,2000,96.3
Bolivia,BOL,2001,96.5
Bolivia,BOL,2002,97.1
Bolivia,BOL,2003,96.67
Bolivia,BOL,2004,98.6
Bolivia,BOL,2005,98.4
Bolivia,BOL,2006,97.4
Bolivia,BOL,2007,99.1
Bolivia,BOL,2008,99
Bolivia,BOL,2009,99.1
Bolivia,BOL,2011,98.8
Bolivia,BOL,2012,99.2
Bolivia,BOL,2013,99.2
Bolivia,BOL,2014,99.2
Bolivia,BOL,2015,99.4
Bolivia,BOL,2016,99.3
Bolivia,BOL,2017,99.3
Bolivia,BOL,2018,99.4
Bolivia,BOL,2019,99.4
Bolivia,BOL,2020,99.5
Bolivia,BOL,2021,99.5
Bosnia and Herzegovina,BIH,1991,99
Bosnia and Herzegovina,BIH,2000,100
Bosnia and Herzegovina,BIH,2006,99.82
Bosnia and Herzegovina,BIH,2013,100
Botswana,BWA,1991,92
Botswana,BWA,2003,96
Brazil,BRA,1980,85
Brazil,BRA,2000,96
Brazil,BRA,2001,96.9
Brazil,BRA,2002,97.5
