Entity,Code,Year,Literacy rate among young men
Afghanistan,AFG,1979,46
Afghanistan,AFG,2011,62
Afghanistan,AFG,2015,57.73505
Afghanistan,AFG,2021,71
Afghanistan,AFG,2022,83.4
Albania,ALB,2001,99
Albania,ALB,2008,99
Albania,ALB,2009,94.82
Albania,ALB,2011,99
Albania,ALB,2012,99
Albania,ALB,2017,98.58999
Algeria,DZA,1987,86
Algeria,DZA,2002,94
Algeria,DZA,2006,94
Algeria,DZA,2008,96
Algeria,DZA,2019,64.79
American Samoa,ASM,1980,98
Angola,AGO,2001,84
Angola,AGO,2014,85
Angola,AGO,2015,83.96919
Anguilla,AIA,1984,99
Argentina,ARG,1980,96
Argentina,ARG,1991,98
Argentina,ARG,2001,99
Armenia,ARM,1989,100
Armenia,ARM,2000,100
Armenia,ARM,2001,100
Armenia,ARM,2011,100
Armenia,ARM,2016,100
Armenia,ARM,2017,100
Armenia,ARM,2020,100
Armenia,ARM,2022,99.64871
Aruba,ABW,2000,99
Aruba,ABW,2010,99
Azerbaijan,AZE,1999,100
Azerbaijan,AZE,2006,100
Azerbaijan,AZE,2007,100
Azerbaijan,AZE,2009,100
Azerbaijan,AZE,2010,100
Azerbaijan,AZE,2011,100
Azerbaijan,AZE,2012,100
Azerbaijan,AZE,2013,100
Azerbaijan,AZE,2014,100
Azerbaijan,AZE,2015,100
Azerbaijan,AZE,2016,100
Azerbaijan,AZE,2017,100
Azerbaijan,AZE,2019,100
Azerbaijan,AZE,2023,100
Bahrain,BHR,1981,90
Bahrain,BHR,1991,97
Bahrain,BHR,2001,97
Bahrain,BHR,2022,99
Bahrain,BHR,2023,99
Bangladesh,BGD,1981,44
Bangladesh,BGD,1991,52
Bangladesh,BGD,2000,100
Bangladesh,BGD,2001,67
Bangladesh,BGD,2007,90.51
Bangladesh,BGD,2011,76
Bangladesh,BGD,2012,76
Bangladesh,BGD,2013,84
Bangladesh,BGD,2014,85
Bangladesh,BGD,2015,86
Bangladesh,BGD,2016,91
Bangladesh,BGD,2017,92
Bangladesh,BGD,2018,92
Bangladesh,BGD,2019,94
Bangladesh,BGD,2020,93
Bangladesh,BGD,2021,94
Bangladesh,BGD,2022,92
Barbados,BRB,1970,100
Barbados,BRB,2012,100
Belarus,BLR,1989,100
Belarus,BLR,1999,100
Belarus,BLR,2009,100
Belarus,BLR,2012,100
Belarus,BLR,2019,100
Belize,BLZ,1991,77
Belize,BLZ,2015,97.82818
Benin,BEN,1979,46
Benin,BEN,1992,55
Benin,BEN,2001,61.08
Benin,BEN,2002,59
Benin,BEN,2006,72.07
Benin,BEN,2017,66.79979
Benin,BEN,2019,76.35444
Benin,BEN,2021,70.96799
Benin,BEN,2022,74.60011
Bhutan,BTN,2005,80
Bhutan,BTN,2012,90
Bhutan,BTN,2017,93
Bolivia,BOL,1976,91
Bolivia,BOL,1992,96
Bolivia,BOL,2000,98.4
Bolivia,BOL,2001,98.2
Bolivia,BOL,2002,99.1
Bolivia,BOL,2003,99.47
Bolivia,BOL,2004,99.6
Bolivia,BOL,2005,99.3
Bolivia,BOL,2006,99.4
Bolivia,BOL,2007,99.8
Bolivia,BOL,2008,99.4
Bolivia,BOL,2009,99.7
Bolivia,BOL,2011,99.3
Bolivia,BOL,2012,99.5
Bolivia,BOL,2013,99.5
Bolivia,BOL,2014,99.7
Bolivia,BOL,2015,99.4
Bolivia,BOL,2016,99.5
Bolivia,BOL,2017,99.4
Bolivia,BOL,2018,99.7
Bolivia,BOL,2019,99.7
Bolivia,BOL,2020,99.6
Bolivia,BOL,2021,99.5
Bosnia and Herzegovina,BIH,1991,99
Bosnia and Herzegovina,BIH,2000,100
Bosnia and Herzegovina,BIH,2013,100
Botswana,BWA,1991,86
Botswana,BWA,2003,92
Brazil,BRA,1980,83
Brazil,BRA,2000,93
Brazil,BRA,2001,94.7
Brazil,BRA,2002,95.1
Brazil,BRA,2003,95.6
Brazil,BRA,2004,95.7
Brazil,BRA,2005,96.1
Brazil,BRA,2006,96.8
Brazil,BRA,2007,97
Brazil,BRA,2008,97.2
Brazil,BRA,2009,97.4
Brazil,BRA,2010,97
Brazil,BRA,2011,97.9
Brazil,BRA,2012,98.2
Brazil,BRA,2013,98.3
Brazil,BRA,2014,98.4
Brazil,BRA,2015,98.6
Brazil,BRA,2016,98.7
Brazil,BRA,2017,98.8
Brazil,BRA,2018,98.7
Brazil,BRA,2019,98.7
Brazil,BRA,2020,99
Brazil,BRA,2021,99.1
Brazil,BRA,2022,99
Brazil,BRA,2023,99
Brunei,BRN,1981,94
Brunei,BRN,1991,98
Brunei,BRN,2001,99
Brunei,BRN,2011,99
Bulgaria,BGR,2001,98
Bulgaria,BGR,2011,98
Burkina Faso,BFA,1975,22
Burkina Faso,BFA,1991,27
Burkina Faso,BFA,1996,25
Burkina Faso,BFA,2003,38
Burkina Faso,BFA,2005,40
Burkina Faso,BFA,2006,40
Burkina Faso,BFA,2007,47
Burkina Faso,BFA,2010,47.04
Burkina Faso,BFA,2014,57
Burkina Faso,BFA,2018,64
Burkina Faso,BFA,2019,51
Burkina Faso,BFA,2021,66.64593
Burkina Faso,BFA,2022,65.47311
Burundi,BDI,1979,41
Burundi,BDI,1990,59
Burundi,BDI,2000,77
Burundi,BDI,2008,67
Burundi,BDI,2010,82.66
Burundi,BDI,2014,85
Burundi,BDI,2016,86.7551
Burundi,BDI,2017,91
Cambodia,KHM,1998,82
Cambodia,KHM,2004,88
Cambodia,KHM,2005,100
Cambodia,KHM,2008,89
Cambodia,KHM,2009,88
Cambodia,KHM,2010,80.6
Cambodia,KHM,2014,90
Cambodia,KHM,2015,92
Cambodia,KHM,2021,90.30829
Cameroon,CMR,1976,80
Cameroon,CMR,2000,88
Cameroon,CMR,2004,81.39
Cameroon,CMR,2007,89
Cameroon,CMR,2010,85
Cameroon,CMR,2011,86.92
Cameroon,CMR,2018,87.59698
Cape Verde,CPV,1990,90
Cape Verde,CPV,2012,98
Cape Verde,CPV,2015,98
Cayman Islands,CYM,2007,99
Central African Republic,CAF,1975,56
Central African Republic,CAF,1988,63
Central African Republic,CAF,2000,73
Central African Republic,CAF,2019,64.90382
Central and Southern Asia (SDG),,1975,63.08979
Central and Southern Asia (SDG),,1976,63.16943
Central and Southern Asia (SDG),,1977,63.65826
Central and Southern Asia (SDG),,1978,64.04982
Central and Southern Asia (SDG),,1979,64.35557
Central and Southern Asia (SDG),,1980,64.54994
Central and Southern Asia (SDG),,1981,64.62395
Central and Southern Asia (SDG),,1982,64.87071
Central and Southern Asia (SDG),,1983,65.06471
Central and Southern Asia (SDG),,1984,65.18798
Central and Southern Asia (SDG),,1985,65.35568
Central and Southern Asia (SDG),,1986,65.54987
Central and Southern Asia (SDG),,1987,65.81714
Central and Southern Asia (SDG),,1988,68.65796
Central and Southern Asia (SDG),,1989,69.49879
Central and Southern Asia (SDG),,1990,70.41392
Central and Southern Asia (SDG),,1991,71.12513
Central and Southern Asia (SDG),,1992,72.52291
Central and Southern Asia (SDG),,1993,73.86445
Central and Southern Asia (SDG),,1994,74.50486
Central and Southern Asia (SDG),,1995,75.20815
